Package                          Current   Wanted   Latest  Location                                      Depended by
@commitlint/cli                   20.3.1   20.5.3   20.5.3  node_modules/@commitlint/cli                  eddata-www
@commitlint/config-conventional   20.3.1   20.5.3   20.5.3  node_modules/@commitlint/config-conventional  eddata-www
@eslint/js                        9.39.2   9.39.5   10.0.1  node_modules/@eslint/js                       eddata-www
@next/bundle-analyzer             16.1.1   16.3.3   16.3.3  node_modules/@next/bundle-analyzer            eddata-www
@playwright/test                  1.57.0   1.62.1   1.62.1  node_modules/@playwright/test                 eddata-www
@react-three/fiber                 9.5.0    9.7.0    9.7.0  node_modules/@react-three/fiber               eddata-www
@sentry/nextjs                   10.33.0  10.72.0  10.72.0  node_modules/@sentry/nextjs                   eddata-www
@testing-library/react            16.3.1   16.3.3   16.3.3  node_modules/@testing-library/react           eddata-www
@testing-library/user-event       14.6.1   14.6.6   14.6.6  node_modules/@testing-library/user-event      eddata-www
@types/node                       25.0.6   25.0.6   26.4.0  node_modules/@types/node                      eddata-www
@types/react                      19.2.8   19.2.8  19.2.18  node_modules/@types/react                     eddata-www
beasties                           0.3.5    0.3.5    0.4.3  node_modules/beasties                         eddata-www
dotenv                            17.2.3   17.4.2   17.4.2  node_modules/dotenv                           eddata-www
eslint                            9.39.2   9.39.5   10.9.1  node_modules/eslint                           eddata-www
eslint-config-next                16.1.1   16.3.3   16.3.3  node_modules/eslint-config-next               eddata-www
jest                              30.2.0   30.5.0   30.5.0  node_modules/jest                             eddata-www
jest-environment-jsdom            30.2.0   30.5.0   30.5.0  node_modules/jest-environment-jsdom           eddata-www
next                              16.1.1   16.3.3   16.3.3  node_modules/next                             eddata-www
prettier                           3.7.4    3.9.6    3.9.6  node_modules/prettier                         eddata-www
react                             19.2.3   19.2.8   19.2.8  node_modules/react                            eddata-www
react-colorful                     5.6.1    5.8.0    5.8.0  node_modules/react-colorful                   eddata-www
react-dom                         19.2.3   19.2.8   19.2.8  node_modules/react-dom                        eddata-www
react-tabs                         6.1.0    6.1.1    6.1.1  node_modules/react-tabs                       eddata-www
rimraf                             6.1.2    6.1.3    6.1.3  node_modules/rimraf                           eddata-www
typescript                         5.9.3    5.9.3    7.0.2  node_modules/typescript                       eddata-www
use-debounce                      10.1.0   10.1.1   10.1.1  node_modules/use-debounce                     eddata-www
web-vitals                         5.1.0    5.3.0    6.2.1  node_modules/web-vitals                       eddata-www
